"sequence","Network_annotation","EggNOG_annotation"
"isogroup10285","isogroup10285|darkgreen kME=0.44|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","R3H domain containing 1"
"isogroup10287","isogroup10287|blue kME=0.34|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","chromosome 16 open reading frame 80"
"isogroup10289","isogroup10289|midnightblue kME=0.38|Associations:(R2=+0.42) mean meandering in response to visual stimulus; (R2=-0.32) time between assay and RNA collection.",NA
"isogroup10293","isogroup10293|darkred kME=0.34|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup10308","isogroup10308|green kME=0.27|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","CDGSH iron sulfur domain 3"
"isogroup10310","isogroup10310|green kME=0.29|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.",NA
"isogroup10315","isogroup10315|blue kME=0.29|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup10319","isogroup10319|red kME=0.72|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","Apolipoprotein A1/A4/E domain"
"isogroup10320","isogroup10320|greenyellow kME=0.37|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","parvalbumin"
"isogroup10331","isogroup10331|greenyellow kME=0.62|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","fragile X mental retardation, autosomal homolog 1"
"isogroup10334","isogroup10334|green kME=0.66|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","reactive oxygen species modulator 1"
"isogroup10338","isogroup10338|darkred kME=0.42|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup10342","isogroup10342|lightsteelblue1 kME=0.57|Associations:(R2=-0.33) time to max speed in response to acoustic stimulus.","protein phosphatase 1, regulatory subunit 27"
"isogroup10349","isogroup10349|darkgrey kME=0.41|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"isogroup10354","isogroup10354|midnightblue kME=0.39|Associations:(R2=+0.42) mean meandering in response to visual stimulus; (R2=-0.32) time between assay and RNA collection.",NA
"isogroup10358","isogroup10358|greenyellow kME=0.31|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"isogroup10360","isogroup10360|blue kME=0.54|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup10366","isogroup10366|darkorange kME=0.45|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","dynein, light chain, LC8-type 1"
"isogroup10368","isogroup10368|brown kME=0.4|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","Lipocalin / cytosolic fatty-acid binding protein family"
"isogroup10375","isogroup10375|blue kME=0.73|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","chromosome 6 open reading frame 58"
"isogroup10377","isogroup10377|darkorange kME=0.31|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup10378","isogroup10378|green kME=0.4|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","EPEND"
"isogroup10379","isogroup10379|blue kME=0.48|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup10380","isogroup10380|greenyellow kME=0.29|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","adaptor-related protein complex 5, beta 1 subunit"
"isogroup10382","isogroup10382|blue kME=0.64|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup10385","isogroup10385|darkred kME=0.4|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup10389","isogroup10389|greenyellow kME=0.63|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"isogroup10390","isogroup10390|darkorange kME=0.39|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","T-cell surface glycoprotein CD3 zeta chain"
"isogroup10392","isogroup10392|darkred kME=0.32|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup10393","isogroup10393|plum1 kME=0.49|Associations:(R2=-0.28) time to max speed in response to acoustic stimulus.",NA
"isogroup10395","isogroup10395|blue kME=0.41|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","aldo-keto reductase family 1, member"
"isogroup10397","isogroup10397|cyan kME=0.55|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.","OTU-like cysteine protease"
"isogroup10398","isogroup10398|brown kME=0.3|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup10399","isogroup10399|darkorange kME=0.55|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","Electron-transfer-flavoprotein, beta polypeptide"
"isogroup10400","isogroup10400|darkred kME=0.48|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup10405","isogroup10405|cyan kME=0.7|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.",NA
"isogroup10406","isogroup10406|greenyellow kME=0.77|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","SH3 domain binding glutamic acid-rich protein"
"isogroup10407","isogroup10407|greenyellow kME=0.43|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"isogroup10410","isogroup10410|darkgrey kME=0.41|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"isogroup10411","isogroup10411|darkred kME=0.29|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup10415","isogroup10415|green kME=0.46|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","TAF13 RNA polymerase II, TATA box binding protein (TBP)-associated factor"
"isogroup10416","isogroup10416|darkred kME=0.33|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup10417","isogroup10417|skyblue kME=0.54|Associations:(R2=-0.38) response duration to acoustic stimulus.","Holocytochrome c synthase"
"isogroup1043","isogroup1043|skyblue kME=0.38|Associations:(R2=-0.38) response duration to acoustic stimulus.","optic atrophy 1 (autosomal dominant)"
"isogroup10431","isogroup10431|darkred kME=0.28|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","Growth arrest and DNA-damage-inducible, gamma"
"isogroup10432","isogroup10432|midnightblue kME=0.52|Associations:(R2=+0.42) mean meandering in response to visual stimulus; (R2=-0.32) time between assay and RNA collection.","DENN MADD domain containing"
"isogroup10438","isogroup10438|red kME=0.27|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.",NA
"isogroup10449","isogroup10449|brown kME=0.46|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup10452","isogroup10452|brown kME=0.45|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae)"
"isogroup10468","isogroup10468|brown kME=0.56|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","Neurogenic differentiation factor"
"isogroup1048","isogroup1048|black kME=0.34|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
"isogroup10483","isogroup10483|black kME=0.43|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.","Solute carrier family 25 member"
"isogroup10486","isogroup10486|skyblue kME=0.42|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"isogroup10490","isogroup10490|darkorange kME=0.42|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup10493","isogroup10493|blue kME=0.31|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","solute carrier family 27 (fatty acid transporter), member 3"
"isogroup10495","isogroup10495|darkorange kME=0.55|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup10497","isogroup10497|green kME=0.3|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","protease, serine, 50"
"isogroup10507","isogroup10507|skyblue kME=0.33|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"isogroup10511","isogroup10511|black kME=0.53|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.","protein phosphatase, Mg2 Mn2 dependent"
"isogroup10514","isogroup10514|darkgreen kME=0.49|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","NME NM23 family member 7"
"isogroup10517","isogroup10517|darkorange kME=0.34|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","myosin IXA"
"isogroup1052","isogroup1052|darkgreen kME=0.57|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","phosducin"
"isogroup10520","isogroup10520|blue kME=0.68|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","glutathione S-transferase"
"isogroup10521","isogroup10521|greenyellow kME=0.28|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","ADP-ribosylation-like factor 6 interacting protein 5"
"isogroup10522","isogroup10522|red kME=0.62|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","serine peptidase inhibitor, Kazal type 4"
"isogroup10527","isogroup10527|skyblue kME=0.46|Associations:(R2=-0.38) response duration to acoustic stimulus.","regulator of G protein signaling 9 binding protein"
"isogroup1053","isogroup1053|darkred kME=0.36|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","hairy and enhancer of split 5"
"isogroup10535","isogroup10535|blue kME=0.34|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","adaptor-related protein complex 3, delta 1 subunit"
"isogroup10541","isogroup10541|darkgrey kME=0.54|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"isogroup10554","isogroup10554|lightcyan1 kME=0.43|Associations:(R2=+0.28) response latency; (R2=+0.35) mean meandering in response to visual stimulus.",NA
"isogroup10559","isogroup10559|blue kME=0.5|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup10574","isogroup10574|darkred kME=0.26|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup10579","isogroup10579|greenyellow kME=0.4|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","Filamin/ABP280 repeat"
"isogroup10580","isogroup10580|darkorange kME=0.35|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup10581","isogroup10581|darkred kME=0.35|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup10583","isogroup10583|darkred kME=0.36|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup10588","isogroup10588|darkred kME=0.27|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup10591","isogroup10591|plum1 kME=0.44|Associations:(R2=-0.28) time to max speed in response to acoustic stimulus.",NA
"isogroup10593","isogroup10593|midnightblue kME=0.36|Associations:(R2=+0.42) mean meandering in response to visual stimulus; (R2=-0.32) time between assay and RNA collection.",NA
"isogroup10596","isogroup10596|darkred kME=0.46|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup106","isogroup106|blue kME=0.47|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup10622","isogroup10622|skyblue kME=0.41|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"isogroup10624","isogroup10624|blue kME=0.39|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","enoyl CoA hydratase, short chain, 1, mitochondrial"
"isogroup10626","isogroup10626|greenyellow kME=0.34|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","glioblastoma amplified sequence"
"isogroup10632","isogroup10632|brown kME=0.33|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup10633","isogroup10633|skyblue kME=0.37|Associations:(R2=-0.38) response duration to acoustic stimulus.","Armadillo/beta-catenin-like repeat"
"isogroup10635","isogroup10635|darkgreen kME=0.49|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.",NA
"isogroup10639","isogroup10639|darkred kME=0.27|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup10641","isogroup10641|brown kME=0.45|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
