V1,annots
isogroup31912,isogroup31912|black kME=0.64|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup29683,isogroup29683|black kME=0.64|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup11543,isogroup11543|black kME=0.64|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup1730,isogroup1730|black kME=0.63|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup32930,isogroup32930|black kME=0.63|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup26515,isogroup26515|black kME=0.62|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup31435,isogroup31435|black kME=0.62|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup29486,isogroup29486|black kME=0.62|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup27627,isogroup27627|black kME=0.62|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup28713,isogroup28713|black kME=0.62|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup32110,isogroup32110|black kME=0.61|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup29542,isogroup29542|black kME=0.61|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup11716,isogroup11716|black kME=0.61|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup8770,isogroup8770|black kME=0.61|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup28994,isogroup28994|black kME=0.61|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup12033,isogroup12033|black kME=0.61|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup5279,isogroup5279|black kME=0.61|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup20995,isogroup20995|black kME=0.6|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup2447,isogroup2447|black kME=0.6|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup26720,isogroup26720|black kME=0.59|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup15144,isogroup15144|black kME=0.59|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup21640,isogroup21640|black kME=0.59|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup23672,isogroup23672|black kME=0.59|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup28407,isogroup28407|black kME=0.59|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup15952,isogroup15952|black kME=0.59|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup23671,isogroup23671|black kME=0.58|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup19911,isogroup19911|black kME=0.58|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup32368,isogroup32368|black kME=0.58|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup32838,isogroup32838|black kME=0.58|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup20615,isogroup20615|black kME=0.58|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup23919,isogroup23919|black kME=0.57|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup30634,isogroup30634|black kME=0.57|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup20912,isogroup20912|black kME=0.57|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup28428,isogroup28428|black kME=0.57|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup11917,isogroup11917|black kME=0.57|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup32065,isogroup32065|black kME=0.56|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup32558,isogroup32558|black kME=0.56|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup24119,isogroup24119|black kME=0.56|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup12091,isogroup12091|black kME=0.56|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup24951,isogroup24951|black kME=0.56|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup14445,isogroup14445|black kME=0.56|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup31928,isogroup31928|black kME=0.56|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup32220,isogroup32220|black kME=0.56|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup20672,isogroup20672|black kME=0.55|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup24521,isogroup24521|black kME=0.55|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup20935,isogroup20935|black kME=0.55|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup23041,isogroup23041|black kME=0.55|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup16413,isogroup16413|black kME=0.55|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup27954,isogroup27954|black kME=0.55|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup25996,isogroup25996|black kME=0.55|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup976,isogroup976|black kME=0.55|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup31845,isogroup31845|black kME=0.55|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup30535,isogroup30535|black kME=0.55|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup26246,isogroup26246|black kME=0.55|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup9281,isogroup9281|black kME=0.54|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup28924,isogroup28924|black kME=0.54|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup27047,isogroup27047|black kME=0.54|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup28946,isogroup28946|black kME=0.54|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup33420,isogroup33420|black kME=0.54|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup25305,isogroup25305|black kME=0.54|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup20177,isogroup20177|black kME=0.54|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup2512,isogroup2512|black kME=0.54|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup21304,isogroup21304|black kME=0.54|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup10511,isogroup10511|black kME=0.53|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup14308,isogroup14308|black kME=0.53|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup25152,isogroup25152|black kME=0.53|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup18918,isogroup18918|black kME=0.53|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup34991,isogroup34991|black kME=0.53|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup27315,isogroup27315|black kME=0.53|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup35747,isogroup35747|black kME=0.53|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup20275,isogroup20275|black kME=0.53|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup26612,isogroup26612|black kME=0.53|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup26656,isogroup26656|black kME=0.53|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup21822,isogroup21822|black kME=0.53|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup22052,isogroup22052|black kME=0.53|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup27769,isogroup27769|black kME=0.53|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup3664,isogroup3664|black kME=0.53|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup31230,isogroup31230|black kME=0.52|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup29187,isogroup29187|black kME=0.52|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup23565,isogroup23565|black kME=0.52|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup32096,isogroup32096|black kME=0.52|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup28950,isogroup28950|black kME=0.52|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup28410,isogroup28410|black kME=0.52|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup28247,isogroup28247|black kME=0.52|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup21749,isogroup21749|black kME=0.52|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup18401,isogroup18401|black kME=0.52|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup31531,isogroup31531|black kME=0.52|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup25549,isogroup25549|black kME=0.52|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup24648,isogroup24648|black kME=0.51|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup23748,isogroup23748|black kME=0.51|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup26434,isogroup26434|black kME=0.51|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup14707,isogroup14707|black kME=0.51|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup27362,isogroup27362|black kME=0.51|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup20729,isogroup20729|black kME=0.51|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup33730,isogroup33730|black kME=0.51|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup2917,isogroup2917|black kME=0.51|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup30323,isogroup30323|black kME=0.51|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup17927,isogroup17927|black kME=0.51|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup28844,isogroup28844|black kME=0.51|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup37128,isogroup37128|black kME=0.51|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup29590,isogroup29590|black kME=0.51|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup6451,isogroup6451|black kME=0.51|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup243,isogroup243|black kME=0.51|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup26907,isogroup26907|black kME=0.51|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup27006,isogroup27006|black kME=0.5|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup33882,isogroup33882|black kME=0.5|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup18548,isogroup18548|black kME=0.5|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup26027,isogroup26027|black kME=0.5|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup4672,isogroup4672|black kME=0.5|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup12726,isogroup12726|black kME=0.5|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup27584,isogroup27584|black kME=0.49|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup11550,isogroup11550|black kME=0.49|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup24064,isogroup24064|black kME=0.49|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup6218,isogroup6218|black kME=0.49|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup25858,isogroup25858|black kME=0.49|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup2634,isogroup2634|black kME=0.49|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup31913,isogroup31913|black kME=0.49|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup21038,isogroup21038|black kME=0.49|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup25906,isogroup25906|black kME=0.49|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup11758,isogroup11758|black kME=0.49|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup27181,isogroup27181|black kME=0.49|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup27105,isogroup27105|black kME=0.49|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup1905,isogroup1905|black kME=0.48|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup33319,isogroup33319|black kME=0.48|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup6405,isogroup6405|black kME=0.48|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup29936,isogroup29936|black kME=0.48|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup28700,isogroup28700|black kME=0.48|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup15460,isogroup15460|black kME=0.48|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup26576,isogroup26576|black kME=0.48|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup16813,isogroup16813|black kME=0.48|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup22846,isogroup22846|black kME=0.48|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup21011,isogroup21011|black kME=0.48|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup1236,isogroup1236|black kME=0.48|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup4630,isogroup4630|black kME=0.47|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup3820,isogroup3820|black kME=0.47|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup10198,isogroup10198|black kME=0.47|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup2718,isogroup2718|black kME=0.47|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup31346,isogroup31346|black kME=0.47|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup27783,isogroup27783|black kME=0.47|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup29972,isogroup29972|black kME=0.47|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup18614,isogroup18614|black kME=0.47|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup32302,isogroup32302|black kME=0.47|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup29864,isogroup29864|black kME=0.47|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup19776,isogroup19776|black kME=0.47|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup7166,isogroup7166|black kME=0.47|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup33682,isogroup33682|black kME=0.47|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup10123,isogroup10123|black kME=0.47|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup10066,isogroup10066|black kME=0.47|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup36975,isogroup36975|black kME=0.46|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup30813,isogroup30813|black kME=0.46|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup31032,isogroup31032|black kME=0.46|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup10,isogroup10|black kME=0.46|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup25820,isogroup25820|black kME=0.46|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup32073,isogroup32073|black kME=0.46|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup18081,isogroup18081|black kME=0.46|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup21213,isogroup21213|black kME=0.46|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup9694,isogroup9694|black kME=0.46|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup35829,isogroup35829|black kME=0.46|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup11609,isogroup11609|black kME=0.46|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup23662,isogroup23662|black kME=0.46|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup36916,isogroup36916|black kME=0.46|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup25792,isogroup25792|black kME=0.46|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup27016,isogroup27016|black kME=0.46|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup29310,isogroup29310|black kME=0.46|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup23124,isogroup23124|black kME=0.45|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup29613,isogroup29613|black kME=0.45|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup14755,isogroup14755|black kME=0.45|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup31862,isogroup31862|black kME=0.45|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup26396,isogroup26396|black kME=0.45|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup18246,isogroup18246|black kME=0.45|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup16069,isogroup16069|black kME=0.45|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup29193,isogroup29193|black kME=0.45|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup11718,isogroup11718|black kME=0.45|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup24254,isogroup24254|black kME=0.45|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup26795,isogroup26795|black kME=0.45|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup24126,isogroup24126|black kME=0.45|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup10989,isogroup10989|black kME=0.45|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup33428,isogroup33428|black kME=0.45|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup26463,isogroup26463|black kME=0.45|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup33266,isogroup33266|black kME=0.44|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup309,isogroup309|black kME=0.44|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup32717,isogroup32717|black kME=0.44|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup30653,isogroup30653|black kME=0.44|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup2574,isogroup2574|black kME=0.44|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup8584,isogroup8584|black kME=0.44|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup21017,isogroup21017|black kME=0.44|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup24327,isogroup24327|black kME=0.44|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup31771,isogroup31771|black kME=0.44|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup11350,isogroup11350|black kME=0.44|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup14132,isogroup14132|black kME=0.44|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup25821,isogroup25821|black kME=0.44|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup24324,isogroup24324|black kME=0.44|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup19821,isogroup19821|black kME=0.44|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup20282,isogroup20282|black kME=0.44|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup30986,isogroup30986|black kME=0.44|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup27936,isogroup27936|black kME=0.44|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup30331,isogroup30331|black kME=0.44|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup26621,isogroup26621|black kME=0.44|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup15198,isogroup15198|black kME=0.44|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup30224,isogroup30224|black kME=0.44|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup31786,isogroup31786|black kME=0.44|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup20127,isogroup20127|black kME=0.44|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup21077,isogroup21077|black kME=0.43|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup14573,isogroup14573|black kME=0.43|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup25167,isogroup25167|black kME=0.43|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup32150,isogroup32150|black kME=0.43|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup12717,isogroup12717|black kME=0.43|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup25736,isogroup25736|black kME=0.43|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup12160,isogroup12160|black kME=0.43|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup28065,isogroup28065|black kME=0.43|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup18862,isogroup18862|black kME=0.43|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup7700,isogroup7700|black kME=0.43|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup33522,isogroup33522|black kME=0.43|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup26859,isogroup26859|black kME=0.43|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup26294,isogroup26294|black kME=0.43|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup31265,isogroup31265|black kME=0.43|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup3698,isogroup3698|black kME=0.43|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup22448,isogroup22448|black kME=0.43|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup16093,isogroup16093|black kME=0.43|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup10483,isogroup10483|black kME=0.43|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup22822,isogroup22822|black kME=0.43|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup30086,isogroup30086|black kME=0.43|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup28274,isogroup28274|black kME=0.42|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup8924,isogroup8924|black kME=0.42|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup31101,isogroup31101|black kME=0.42|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup17563,isogroup17563|black kME=0.42|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup31081,isogroup31081|black kME=0.42|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup32080,isogroup32080|black kME=0.42|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup34947,isogroup34947|black kME=0.42|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup31110,isogroup31110|black kME=0.42|Associations:(R2=+0.29) mean speed in response to visual stimulus.
