"","sequence","NI_annotation","EggNOG_annotation"
"1","isogroup10","isogroup10|black kME=0.46|Associations:(R2=+0.29) mean speed in response to visual stimulus.",NA
"54","isogroup10266","isogroup10266|darkred kME=0.34|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"55","isogroup1027","isogroup1027|saddlebrown kME=0.46|Associations:(R2=-0.28) distance between visual stimulus and larva at response initiation; (R2=-0.3) max speed in response to acoustic stimulus.","Lens epithelium-derived growth factor (LEDGF)"
"56","isogroup10270","isogroup10270|green kME=0.3|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","family with sequence similarity 189, member A1"
"57","isogroup10274","isogroup10274|brown kME=0.63|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"58","isogroup10275","isogroup10275|greenyellow kME=0.35|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",""
"59","isogroup10285","isogroup10285|darkgreen kME=0.44|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","R3H domain containing 1"
"60","isogroup10287","isogroup10287|blue kME=0.34|Associations:(R2=+0.49) response latency.","chromosome 16 open reading frame 80"
"61","isogroup10289","isogroup10289|midnightblue kME=0.38|Associations:(R2=+0.42) mean meandering in response to visual stimulus.",NA
"62","isogroup10293","isogroup10293|darkred kME=0.34|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"63","isogroup10308","isogroup10308|green kME=0.27|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","CDGSH iron sulfur domain 3"
"64","isogroup10310","isogroup10310|green kME=0.29|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.",NA
"65","isogroup10315","isogroup10315|blue kME=0.29|Associations:(R2=+0.49) response latency.",NA
"66","isogroup10319","isogroup10319|red kME=0.72|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","Apolipoprotein A1/A4/E domain"
"67","isogroup10320","isogroup10320|greenyellow kME=0.37|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","parvalbumin"
"68","isogroup10331","isogroup10331|greenyellow kME=0.62|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","fragile X mental retardation, autosomal homolog 1"
"69","isogroup10334","isogroup10334|green kME=0.66|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","reactive oxygen species modulator 1"
"70","isogroup10338","isogroup10338|darkred kME=0.42|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"71","isogroup10342","isogroup10342|lightsteelblue1 kME=0.57|Associations:(R2=-0.33) time to max speed in response to acoustic stimulus.","protein phosphatase 1, regulatory subunit 27"
"72","isogroup10349","isogroup10349|darkgrey kME=0.41|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"73","isogroup10354","isogroup10354|midnightblue kME=0.39|Associations:(R2=+0.42) mean meandering in response to visual stimulus.",NA
"74","isogroup10358","isogroup10358|greenyellow kME=0.31|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"75","isogroup10360","isogroup10360|blue kME=0.54|Associations:(R2=+0.49) response latency.",NA
"76","isogroup10366","isogroup10366|darkorange kME=0.45|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","dynein, light chain, LC8-type 1"
"77","isogroup10368","isogroup10368|brown kME=0.4|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","Lipocalin / cytosolic fatty-acid binding protein family"
"78","isogroup10375","isogroup10375|blue kME=0.73|Associations:(R2=+0.49) response latency.","chromosome 6 open reading frame 58"
"79","isogroup10377","isogroup10377|darkorange kME=0.31|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"80","isogroup10378","isogroup10378|green kME=0.4|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","EPEND"
"81","isogroup10379","isogroup10379|blue kME=0.48|Associations:(R2=+0.49) response latency.",NA
"82","isogroup10380","isogroup10380|greenyellow kME=0.29|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","adaptor-related protein complex 5, beta 1 subunit"
"83","isogroup10382","isogroup10382|blue kME=0.64|Associations:(R2=+0.49) response latency.",NA
"84","isogroup10385","isogroup10385|darkred kME=0.4|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"85","isogroup10389","isogroup10389|greenyellow kME=0.63|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"86","isogroup10390","isogroup10390|darkorange kME=0.39|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","T-cell surface glycoprotein CD3 zeta chain"
"87","isogroup10392","isogroup10392|darkred kME=0.32|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"88","isogroup10393","isogroup10393|plum1 kME=0.49|Associations:(R2=-0.28) time to max speed in response to acoustic stimulus.",NA
"89","isogroup10395","isogroup10395|blue kME=0.41|Associations:(R2=+0.49) response latency.","aldo-keto reductase family 1, member"
"90","isogroup10397","isogroup10397|cyan kME=0.55|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.","OTU-like cysteine protease"
"91","isogroup10398","isogroup10398|brown kME=0.3|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"92","isogroup10399","isogroup10399|darkorange kME=0.55|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","Electron-transfer-flavoprotein, beta polypeptide"
"93","isogroup10400","isogroup10400|darkred kME=0.48|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"94","isogroup10405","isogroup10405|cyan kME=0.7|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.",NA
"95","isogroup10406","isogroup10406|greenyellow kME=0.77|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","SH3 domain binding glutamic acid-rich protein"
"96","isogroup10407","isogroup10407|greenyellow kME=0.43|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"97","isogroup10410","isogroup10410|darkgrey kME=0.41|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"98","isogroup10411","isogroup10411|darkred kME=0.29|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"99","isogroup10415","isogroup10415|green kME=0.46|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","TAF13 RNA polymerase II, TATA box binding protein (TBP)-associated factor"
"100","isogroup10416","isogroup10416|darkred kME=0.33|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"101","isogroup10417","isogroup10417|skyblue kME=0.54|Associations:(R2=-0.38) response duration to acoustic stimulus.","Holocytochrome c synthase"
"102","isogroup1043","isogroup1043|skyblue kME=0.38|Associations:(R2=-0.38) response duration to acoustic stimulus.","optic atrophy 1 (autosomal dominant)"
"103","isogroup10431","isogroup10431|darkred kME=0.28|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","Growth arrest and DNA-damage-inducible, gamma"
"104","isogroup10432","isogroup10432|midnightblue kME=0.52|Associations:(R2=+0.42) mean meandering in response to visual stimulus.","DENN MADD domain containing"
"105","isogroup10438","isogroup10438|red kME=0.27|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.",NA
"106","isogroup10449","isogroup10449|brown kME=0.46|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"107","isogroup10452","isogroup10452|brown kME=0.45|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae)"
"108","isogroup10468","isogroup10468|brown kME=0.56|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","Neurogenic differentiation factor"
"109","isogroup1048","isogroup1048|black kME=0.34|Associations:(R2=+0.29) mean speed in response to visual stimulus.",NA
"110","isogroup10483","isogroup10483|black kME=0.43|Associations:(R2=+0.29) mean speed in response to visual stimulus.","Solute carrier family 25 member"
"111","isogroup10486","isogroup10486|skyblue kME=0.42|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"112","isogroup10490","isogroup10490|darkorange kME=0.42|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"113","isogroup10493","isogroup10493|blue kME=0.31|Associations:(R2=+0.49) response latency.","solute carrier family 27 (fatty acid transporter), member 3"
"114","isogroup10495","isogroup10495|darkorange kME=0.55|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"115","isogroup10497","isogroup10497|green kME=0.3|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","protease, serine, 50"
"116","isogroup10507","isogroup10507|skyblue kME=0.33|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"117","isogroup10511","isogroup10511|black kME=0.53|Associations:(R2=+0.29) mean speed in response to visual stimulus.","protein phosphatase, Mg2 Mn2 dependent"
"118","isogroup10514","isogroup10514|darkgreen kME=0.49|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","NME NM23 family member 7"
"119","isogroup10517","isogroup10517|darkorange kME=0.34|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","myosin IXA"
"120","isogroup1052","isogroup1052|darkgreen kME=0.57|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","phosducin"
"121","isogroup10520","isogroup10520|blue kME=0.68|Associations:(R2=+0.49) response latency.","glutathione S-transferase"
"122","isogroup10521","isogroup10521|greenyellow kME=0.28|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","ADP-ribosylation-like factor 6 interacting protein 5"
"123","isogroup10522","isogroup10522|red kME=0.62|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","serine peptidase inhibitor, Kazal type 4"
"124","isogroup10527","isogroup10527|skyblue kME=0.46|Associations:(R2=-0.38) response duration to acoustic stimulus.","regulator of G protein signaling 9 binding protein"
"125","isogroup1053","isogroup1053|darkred kME=0.36|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","hairy and enhancer of split 5"
"126","isogroup10535","isogroup10535|blue kME=0.34|Associations:(R2=+0.49) response latency.","adaptor-related protein complex 3, delta 1 subunit"
"127","isogroup10541","isogroup10541|darkgrey kME=0.54|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"128","isogroup10554","isogroup10554|lightcyan1 kME=0.43|Associations:(R2=+0.28) response latency; (R2=+0.35) mean meandering in response to visual stimulus.",NA
"129","isogroup10559","isogroup10559|blue kME=0.5|Associations:(R2=+0.49) response latency.",NA
"130","isogroup10574","isogroup10574|darkred kME=0.26|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"131","isogroup10579","isogroup10579|greenyellow kME=0.4|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","Filamin/ABP280 repeat"
"132","isogroup10580","isogroup10580|darkorange kME=0.35|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"133","isogroup10581","isogroup10581|darkred kME=0.35|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"134","isogroup10583","isogroup10583|darkred kME=0.36|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"135","isogroup10588","isogroup10588|darkred kME=0.27|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"136","isogroup10591","isogroup10591|plum1 kME=0.44|Associations:(R2=-0.28) time to max speed in response to acoustic stimulus.",NA
"137","isogroup10593","isogroup10593|midnightblue kME=0.36|Associations:(R2=+0.42) mean meandering in response to visual stimulus.",NA
"138","isogroup10596","isogroup10596|darkred kME=0.46|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"139","isogroup106","isogroup106|blue kME=0.47|Associations:(R2=+0.49) response latency.",NA
"140","isogroup10622","isogroup10622|skyblue kME=0.41|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"141","isogroup10624","isogroup10624|blue kME=0.39|Associations:(R2=+0.49) response latency.","enoyl CoA hydratase, short chain, 1, mitochondrial"
"142","isogroup10626","isogroup10626|greenyellow kME=0.34|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","glioblastoma amplified sequence"
"143","isogroup10632","isogroup10632|brown kME=0.33|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"144","isogroup10633","isogroup10633|skyblue kME=0.37|Associations:(R2=-0.38) response duration to acoustic stimulus.","Armadillo/beta-catenin-like repeat"
"145","isogroup10635","isogroup10635|darkgreen kME=0.49|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.",NA
"146","isogroup10639","isogroup10639|darkred kME=0.27|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"147","isogroup10641","isogroup10641|brown kME=0.45|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"148","isogroup10644","isogroup10644|darkgreen kME=0.45|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.",NA
"149","isogroup10645","isogroup10645|darkorange kME=0.48|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","basic transcription factor 3-like 4"
"150","isogroup10648","isogroup10648|green kME=0.33|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","Astacin (Peptidase family M12A)"
"151","isogroup10649","isogroup10649|darkmagenta kME=0.49|Associations:(R2=-0.32) max speed in response to acoustic stimulus.",NA
